,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
0,N/A,N/A,QEP,N/A,N/A,N/A,N/A,N/A,55.66,51.67,1.41,0.62,0.90,6.07,0.83,2240000000.0,6.63,2240000000.0,3460000000.0,51.67,1.11,2.17,4.78,2.17,752700000.0,2240000000.0,N/A,0.07,782600000.0,2.00,782600000.0,3.25,2020000000.0,1.55,15.10,612600000.0,2240000000.0,0.75,94.95,N/A,2.43,5.84,14200000.0,N/A
1,N/A,N/A,CTL,N/A,N/A,N/A,N/A,N/A,192.73,25.29,0.94,0.62,1.89,13.76,2.94,15680000000.0,30.73,15680000000.0,39890000000.0,12.02,0.55,2.40,6.72,2.40,9700000000.0,15680000000.0,N/A,0.58,39.50,7.90,0.15,0.15,24980000000.0,0.82,23.58,3800000000.0,15680000000.0,0.75,52.79,N/A,2.91,9.41,138770000.0,N/A
2,N/A,N/A,TXN,N/A,N/A,N/A,N/A,N/A,32.61,22.90,6.61,8.80,29.98,39.55,21.81,96600000000.0,14.70,96600000000.0,96510000000.0,21.54,2.08,6.60,14.56,6.60,8240000000.0,96600000000.0,N/A,4.28,26.20,12.00,3440000000.0,3.49,3580000000.0,3.89,11.14,4820000000.0,96600000000.0,0.10,85.64,N/A,2.52,1.25,9720000.0,N/A
3,N/A,N/A,STX,N/A,N/A,N/A,N/A,N/A,4.67,15.69,1.10,8.66,0.00,12.32,10610000000.0,11710000000.0,36.11,11710000000.0,15.69,9.76,0.54,0.00,0.00,0.00,3170000000.0,11710000000.0,N/A,2.58,2280000000.0,3170000000.0,2280000000.0,4.67,4.67,4.67,4.67,1560000000.0,11710000000.0,54.11,0.00,N/A,5.51,17.46,36450000.0,N/A
4,N/A,N/A,MGM,N/A,N/A,N/A,N/A,N/A,129.96,32.59,1.83,2.97,5.77,16.03,3.61,18780000000.0,17.83,18780000000.0,30380000000.0,22.73,3.73,2.97,11.37,2.97,3960000000.0,18780000000.0,N/A,1.02,72.20,12.80,1990000000.0,3.51,13500000000.0,1.02,11.16,239710000.0,18780000000.0,6.97,85.60,N/A,0.00,0.00,0.44,N/A
5,N/A,N/A,ORLY,N/A,N/A,N/A,N/A,N/A,472.31,21.42,2.49,34.89,12.13,19.47,14.42,22100000000.0,97.99,22100000000.0,23680000000.0,19.11,1.41,2.66,12.07,2.66,4510000000.0,22100000000.0,N/A,11.72,1.90,5.40,37290000.0,0.44,2900000000.0,0.93,7.20,1330000000.0,22100000000.0,2.16,90.63,N/A,4.23,6.07,5060000.0,N/A
6,N/A,N/A,AXP,N/A,N/A,N/A,N/A,N/A,243.49,19.09,2.86,4.07,15.93,24.80,2.96,85540000000.0,33.38,85540000000.0,110610000000.0,15.23,1.53,3.70,15.93,3.70,4640000000.0,85540000000.0,N/A,5.16,18.70,5.40,26290000000.0,30.29,51340000000.0,1.92,24.21,11850000000.0,85540000000.0,0.23,85.45,N/A,3.38,1.54,14010000.0,N/A
7,N/A,N/A,CRM,N/A,N/A,N/A,N/A,N/A,29.31,620.00,7.53,8.46,0.09,1.51,0.59,74710000000.0,13.99,74710000000.0,74130000000.0,59.79,3.10,7.47,133.95,7.47,6160000000.0,74710000000.0,N/A,0.01,3630000000.0,24.90,3630000000.0,5.02,2590000000.0,0.82,12.22,2390000000.0,74710000000.0,5.05,87.91,N/A,4.98,3.50,18120000.0,N/A
8,N/A,N/A,A,N/A,N/A,N/A,N/A,N/A,41.64,32.09,4.85,4.50,15.30,18.81,6.48,21680000000.0,13.89,21680000000.0,20810000000.0,23.56,2.81,4.65,19.77,4.65,2200000000.0,21680000000.0,N/A,2.10,40.50,7.00,2680000000.0,8.32,2009999999.9999998,3.30,14.99,535250000.0,21680000000.0,0.26,87.40,N/A,0.00,0.00,0.6,N/A
9,N/A,N/A,ADM,N/A,N/A,N/A,N/A,N/A,41.61,19.43,0.38,1.32,2.01,2.60,2.53,23210000000.0,106.91,23210000000.0,29660000000.0,15.15,7.09,0.48,11.87,0.48,3680000000.0,23210000000.0,N/A,2.14,43.70,6.30,1.39,1.39,7340000000.0,1.61,31.43,2330000000.0,23210000000.0,2.31,79.45,N/A,3.68,2.22,11680000.0,N/A
